dsample,time_ndm,time_kndm,RMSE_rand,MAE_rand,R2_rand,RMSE_AOA_surf_rand,MAE_AOA_surf_rand,R2_AOA_surf_rand,in_AOA_rand,RMSE_surf,MAE_surf,R2_surf,RMSE_spatial,MAE_spatial,R2_spatial,RMSE_AOA_surf_spatial,MAE_AOA_surf_spatial,R2_AOA_surf_spatial,in_AOA_spatial,RMSE_kndm,MAE_kndm,R2_kndm,RMSE_AOA_surf_kndm,MAE_AOA_surf_kndm,R2_AOA_surf_kndm,in_AOA_kndm,RMSE_nndm,MAE_nndm,R2_nndm,RMSE_AOA_surf_nndm,MAE_AOA_surf_nndm,R2_AOA_surf_nndm,in_AOA_nndm,time_kndm_mod,time_ndm_mod
random,0.347999999999999,0.03900000000000148,0.09491800963047418,0.06877265139955309,0.8414458252041349,0.08930305248488628,0.06705301948982036,0.8737054705418179,93.52634036592096,0.091004846816803,0.0690236791718996,0.8698298208962504,0.14256795363308664,0.11082077512774267,0.6042465053609535,0.09092701738153454,0.06897646211995642,0.8698972407223173,99.96179479560216,0.09621406117947637,0.07301595840669335,0.8560958781556222,0.08926866258394997,0.06705616462795154,0.8707254115359151,93.39898968459481,0.0976301486121207,0.07042928313683622,0.821287992357046,0.08933723348079577,0.06714736782114351,0.8717918009102603,94.34562974911915,0.9989999999999952,9.873999999999995
wclust,0.4300000000000068,0.28700000000003456,0.0935768437191137,0.06020881442503383,0.8384086542430492,0.10288276452761627,0.07718633955588024,0.7991631272754709,87.2182366175659,0.116290770567612,0.08715440176923048,0.7785748904540624,0.11658255952241449,0.09098584538768355,0.7710415947822961,0.11021001943477803,0.08299123891814522,0.7879018171891217,96.73557753533981,0.10054500266761487,0.07375396474933874,0.815172545945434,0.10730185462420959,0.08070699878201061,0.7938444319440741,93.33106932122087,0.09474947400826482,0.06688937154208001,0.8390310571590569,0.10691859981548114,0.08040500301040067,0.7947555122851312,93.25041388971431,0.9900000000000091,9.183999999999969
sclust,0.6589999999999918,0.285000000000025,0.05732050384169191,0.03918540999947118,0.9236662126094934,0.07645288193585487,0.05797939311942503,0.8164407866252884,59.09496115804219,0.14421840711051634,0.10267300138308443,0.6153754615656126,0.16204396530298737,0.12695233082680654,0.33368822993971226,0.12724799882107837,0.08949155507055127,0.6377337974518241,85.45230716984335,0.12947541612914412,0.09246138083738584,0.5801874195511536,0.1314468783481363,0.09169053326624271,0.6244125784538587,88.49174343082736,0.1400376246238754,0.09260585528728242,0.50843993841738655,0.13034664417227199,0.09094720916580191,0.6285694498663065,88.24553211359681,0.9750000000000227,8.837999999999965
sregular,0.39000000000000057,0.05000000000000071,0.09729400539182685,0.07212804051386593,0.8285008909652742,0.08961136870383134,0.06666247850418112,0.8700877073185354,98.91751920872777,0.09092439419697473,0.06770777554303821,0.8717570981129826,0.1197408300886933,0.08964982467366646,0.738374567611719,0.089598503479281,0.0666567401332625,0.8690549574191312,98.28076580209704,0.0993447741877018,0.0748489394534945,0.8230035628261932,0.08936350976557202,0.06650148070588248,0.8708096304120319,98.5694273464363,0.10003396211793629,0.07143977794858314,0.8104599204147245,0.08932952131290976,0.06652003353071038,0.8722865688075316,99.00666468565606,1.0210000000000008,9.813000000000002
wregular,2.2519999999999953,0.17200000000000415,0.09568224367285783,0.06762805204275954,0.7993952980537695,0.10500003863190939,0.07616079672066274,0.8284961172455724,99.58398777433459,0.10503672527806114,0.07630127332215399,0.8304310391792264,0.14014761797050126,0.10606193905069664,0.5672932545339708,0.10501990545339801,0.07620432657096218,0.8285275652994604,99.71133845566074,0.1032739538742151,0.07557927304368711,0.7671041615841181,0.1049802811315796,0.0761580093626444,0.8287317749874097,99.4481470475867,0.09410946341947635,0.06913404064049077,0.8162218996909689,0.10501466644155823,0.07619623406930362,0.8287600719467028,99.69011334210637,1.0560000000000045,10.301999999999992
random,0.3640000000000043,0.03900000000000148,0.0992381114712154,0.07086477997696648,0.8119826649636925,0.08588053798195061,0.06585301749537319,0.877314319216795,97.51666171414017,0.0894951533949868,0.06811196533585497,0.8765505238974144,0.12687676512959487,0.1006609522136425,0.7356556159454748,0.08611491181370043,0.0661364274437598,0.8790112315405718,98.53546716474933,0.1009562026309863,0.07530880784722666,0.8305043213884931,0.08398374845939331,0.06440230574027313,0.8759927831897687,95.12246890520865,0.10218836991301927,0.07189402464675408,0.8002253623528144,0.08445863497687,0.06469849027392167,0.8732381052416842,94.79984717918241,1.0120000000000005,9.685000000000002
wclust,0.4270000000000209,0.2869999999999777,0.08921352990930141,0.06289668803133071,0.8964362202139862,0.10045003660960473,0.0720044408359632,0.7973743886666624,91.90049666765717,0.11261242261205244,0.08043406074424975,0.7648594299754254,0.13876031438229094,0.11667338177481046,0.7986379328163719,0.10915839184412769,0.07778241868151367,0.7698898387567953,96.85443817124421,0.11539420033646612,0.08878647285264607,0.8286813287886039,0.1045230954485258,0.07473403845466599,0.7854633342692283,94.91446279237594,0.11415334914158275,0.08460748283308,0.8234154998890754,0.09989608291669892,0.07177898959779516,0.7995951763114741,92.06605255338116,0.97199999999998,8.939000000000021
sclust,1.2280000000000086,0.3190000000000168,0.06307251608916714,0.04181752004591127,0.859388806658833,0.08122461220017448,0.06179073438084356,0.7896141589732817,58.75960436388334,0.14358591214814934,0.10538627281711802,0.6914678797790612,0.10790724170862571,0.0810826635216425,0.5808469240644956,0.12580338012624084,0.0899996297489039,0.6953641109831998,85.36316169291506,0.11168367625832146,0.08075413671762463,0.5381300258724578,0.13009762298219996,0.09361883597745749,0.6895089137620947,90.13456721993462,0.0849180686087655,0.06003982304356993,0.7326547830798483,0.11140298356548825,0.0812556026514633,0.7298756696432863,79.58993080612981,1.035000000000025,9.533999999999992
sregular,0.6819999999999986,0.0519999999999996,0.08939481705633295,0.0672154656859301,0.8553595155936919,0.0897406517782539,0.066195733416776,0.857543200807319,97.08791442034214,0.09065298802035042,0.06708847618168053,0.8681361629882915,0.10299510418276506,0.08062602643169466,0.8090932934920374,0.09001577772895006,0.06641364240376806,0.8616402011185482,98.2722757566753,0.08835601500487325,0.06569663489696259,0.859602974319907,0.08938227423586495,0.06595641207060302,0.8576360631934978,96.67614721738761,0.08653894086522913,0.06505899130544314,0.8614906529798002,0.08836438828745899,0.06542602780448259,0.859968307831982,96.54030649063972,1.0189999999999984,9.794000000000004
wregular,0.34599999999999653,0.04000000000000625,0.10027222477540322,0.07547902220297528,0.8019504489869314,0.0886506968075731,0.06782018245491785,0.8589371027526833,91.67975548669185,0.09887914167534646,0.07597008049342943,0.8658899198671416,0.1335864258317806,0.10382433488133815,0.6166069403621445,0.09242727006955291,0.07074859714278164,0.8565959529824118,95.3517001315957,0.09736554398440153,0.07428294391058335,0.8189797618772097,0.08854205185383934,0.06770178803232739,0.8593308537680276,91.61608014602878,0.09872716631721848,0.07357097198727991,0.8324862254433119,0.09050350859750748,0.06918994133544933,0.8593964609858077,93.4456849344144,1.0090000000000003,9.322000000000003
random,0.375,0.03999999999999204,0.08964663231539574,0.07108234595439791,0.8948028769330649,0.09014042847008712,0.07001902770114858,0.8754242362961032,97.22375514709005,0.09366078594014511,0.0726087608934164,0.8738178652233214,0.13946896716713547,0.11274299380891177,0.7069802644566962,0.09280400347617536,0.07206707802719572,0.8748202991652319,99.6731332512629,0.09133835139396043,0.07086611273063279,0.8719871343996133,0.0900565343883207,0.0699460961629323,0.87491454272578,96.82047798955725,0.08993135942812899,0.0700881566606181,0.8767688451934784,0.09014965606494095,0.07006345485022356,0.87561914654125,97.1685698518487,1.0300000000000011,9.88199999999999
wclust,0.5169999999999959,0.353999999999985,0.07663644606795876,0.05683701577848132,0.8938295110370115,0.09943238999488087,0.07273740310633135,0.8298434674572918,84.13210510676232,0.10865538646205723,0.08103247712150767,0.8169751362609096,0.13431563788584003,0.1113343270444994,0.673150829564646,0.10666213313925878,0.07945093102200483,0.81447929897553,98.76894341384727,0.11692088057480507,0.09242151655706576,0.7547696647782483,0.10610458595118741,0.07894171279783428,0.8151848551063628,98.21709046143397,0.10716922116965012,0.07963462228889576,0.772578502204636,0.10615176671902268,0.07911858548463827,0.8170630628607016,98.03879950757737,0.9900000000000091,9.355999999999995
sclust,1.5330000000000155,0.3269999999999982,0.06336564650798125,0.04722836422210131,0.92839321913144,0.08680980045795904,0.066517661829313,0.8691662277859953,67.69537717026786,0.152101022018158,0.11059861590168614,0.6859488736591537,0.1220772193074452,0.09849174812928771,0.6884954265318014,0.1062002415114346,0.08088010289476957,0.8270529377291871,84.84102389947786,0.11747285573320294,0.0990974908454361,0.7450532650706083,0.1320105258173244,0.09890342465023648,0.756349381701175,96.07759901515473,0.12306093742113065,0.09734975777468896,0.6884369581582228,0.11797789374155564,0.08938429955388669,0.7991965397134119,91.047247102772,0.9759999999999991,8.958000000000027
sregular,0.36599999999999966,0.05000000000000071,0.10242865035542563,0.07613280267642811,0.8197082857693347,0.0802587408512971,0.06126987855245373,0.8985359256984172,98.04304453028824,0.08171030312543384,0.0625534064201854,0.900735751626129,0.13022703636119226,0.10290412030963848,0.7312093792864282,0.08139819941841628,0.06224460495019838,0.8994579413722721,99.53304750180413,0.1076448905028397,0.07868835513774927,0.8051477096141793,0.08082582682266633,0.06175752847234337,0.898823879518833,98.87082395890818,0.1034531211502603,0.07688329917469994,0.8141797037006111,0.08062193340302942,0.061583014057395906,0.8985729340579492,98.66706286878635,1.0129999999999981,9.667000000000002
wregular,2.254000000000005,0.15400000000000347,0.10055003251766075,0.07380940036789299,0.7785203676821789,0.09910525222100432,0.07377838485514067,0.8366403733688826,95.49603090376534,0.11055849530123257,0.08105851425654535,0.830802259165109,0.12954818661561063,0.10181312037873823,0.5962518070840372,0.10561092572770872,0.07760780261480965,0.828556858685888,97.77560809950333,0.10631245104989868,0.07730410091613524,0.7375982454205755,0.1022015619457902,0.07544010631182521,0.8319202339217263,96.3195653096744,0.1003494746381869,0.07312029192868072,0.7721600607100361,0.09764792893238088,0.07255872761183144,0.836066985247407,93.90839240989939,1.014000000000003,9.134
random,0.35999999999999943,0.0379999999999967,0.08433787744985492,0.06454040212790171,0.8548646737379474,0.09850184855003602,0.07130494045109162,0.8164928605111743,94.73192681580846,0.1027203663174592,0.0748855636942955,0.8290395016028883,0.12718201462924514,0.09701308415614067,0.6376703152924147,0.10041298101203583,0.0732628520510402,0.8271180702922627,98.64159273252112,0.08495675718917636,0.06472811750736088,0.8557319253432345,0.09964200871862339,0.07252352714077706,0.8236385829893367,97.09215944305302,0.08988651441028343,0.06815145546387882,0.827699107589231,0.09849834789238318,0.07130658527667472,0.8167891889421133,94.85078745171288,1.0069999999999908,9.572999999999993
