"","method","variate","design","number","RMSE","k","methodID","rRMSE"
"128","exhaustive_caret_5k","AGB","clusterMedium",28,26.6879085704671,NA,0,0
"129","exhaustive_caret_5k","AGB","clusterMedium",29,27.3869880094659,NA,0,0
"130","exhaustive_caret_5k","AGB","clusterMedium",30,27.2791829856568,NA,0,0
"131","exhaustive_caret_5k","AGB","clusterMedium",31,27.384822302729,NA,0,0
"132","exhaustive_caret_5k","AGB","clusterMedium",32,26.6448849396283,NA,0,0
"133","exhaustive_caret_5k","AGB","clusterMedium",33,26.9161216733901,NA,0,0
"134","exhaustive_caret_5k","AGB","clusterMedium",34,26.9496566896557,NA,0,0
"135","exhaustive_caret_5k","AGB","clusterMedium",35,26.4786630651585,NA,0,0
"136","exhaustive_caret_5k","AGB","clusterMedium",36,26.7710308239096,NA,0,0
"137","exhaustive_caret_5k","AGB","clusterMedium",37,26.9812261128554,NA,0,0
"138","exhaustive_caret_5k","AGB","clusterMedium",38,26.8259080598765,NA,0,0
"139","exhaustive_caret_5k","AGB","clusterMedium",39,27.0365856486041,NA,0,0
"140","exhaustive_caret_5k","AGB","clusterMedium",40,27.068181233546,NA,0,0
"141","exhaustive_caret_5k","AGB","clusterMedium",41,26.5973381158174,NA,0,0
"142","exhaustive_caret_5k","AGB","clusterMedium",42,27.0842076432572,NA,0,0
"143","exhaustive_caret_5k","AGB","clusterMedium",43,27.1675655428102,NA,0,0
"144","exhaustive_caret_5k","AGB","clusterMedium",44,26.9851452826684,NA,0,0
"145","exhaustive_caret_5k","AGB","clusterMedium",45,26.4554555904383,NA,0,0
"146","exhaustive_caret_5k","AGB","clusterMedium",46,26.874961187447,NA,0,0
"147","exhaustive_caret_5k","AGB","clusterMedium",47,26.3973189712921,NA,0,0
"148","exhaustive_caret_5k","AGB","clusterMedium",48,27.7100875044846,NA,0,0
"149","exhaustive_caret_5k","AGB","clusterMedium",49,26.698430159936,NA,0,0
"150","exhaustive_caret_5k","AGB","clusterMedium",50,27.073204347576,NA,0,0
"151","exhaustive_caret_5k","AGB","clusterMedium",51,27.3268146366825,NA,0,0
"152","exhaustive_caret_5k","AGB","clusterMedium",52,27.1095833350615,NA,0,0
"153","exhaustive_caret_5k","AGB","clusterMedium",53,27.0947402894532,NA,0,0
"154","exhaustive_caret_5k","AGB","clusterMedium",54,27.2065210138822,NA,0,0
"155","exhaustive_caret_5k","AGB","clusterMedium",55,27.11743739997,NA,0,0
"156","exhaustive_caret_5k","AGB","clusterMedium",56,27.0381259069713,NA,0,0
"157","exhaustive_caret_5k","AGB","clusterMedium",57,27.0555884529975,NA,0,0
"158","exhaustive_caret_5k","AGB","clusterMedium",58,26.6383494168317,NA,0,0
"159","exhaustive_caret_5k","AGB","clusterMedium",59,26.8526823745094,NA,0,0
"160","exhaustive_caret_5k","AGB","clusterMedium",60,26.9789278858242,NA,0,0
"161","exhaustive_caret_5k","AGB","clusterMedium",61,27.3133742291535,NA,0,0
"162","exhaustive_caret_5k","AGB","clusterMedium",62,26.9785459038631,NA,0,0
"163","exhaustive_caret_5k","AGB","clusterMedium",63,26.8148227825138,NA,0,0
"164","exhaustive_caret_5k","AGB","clusterMedium",64,27.3534236137823,NA,0,0
"165","exhaustive_caret_5k","AGB","clusterMedium",65,26.8492999827089,NA,0,0
"166","exhaustive_caret_5k","AGB","clusterMedium",66,27.5441901197945,NA,0,0
"167","exhaustive_caret_5k","AGB","clusterMedium",67,27.5896126544827,NA,0,0
"168","exhaustive_caret_5k","AGB","clusterMedium",68,26.6968972346242,NA,0,0
"169","exhaustive_caret_5k","AGB","clusterMedium",69,27.2515508805382,NA,0,0
"170","exhaustive_caret_5k","AGB","clusterMedium",70,27.0169669183501,NA,0,0
"171","exhaustive_caret_5k","AGB","clusterMedium",71,27.0003295694797,NA,0,0
"172","exhaustive_caret_5k","AGB","clusterMedium",72,27.057436632484,NA,0,0
"173","exhaustive_caret_5k","AGB","clusterMedium",73,27.1000579260254,NA,0,0
"174","exhaustive_caret_5k","AGB","clusterMedium",74,27.4135584308154,NA,0,0
"175","exhaustive_caret_5k","AGB","clusterMedium",75,27.0547804839558,NA,0,0
"176","exhaustive_caret_5k","AGB","clusterMedium",76,27.4031800179073,NA,0,0
"177","exhaustive_caret_5k","AGB","clusterMedium",77,26.5831939487175,NA,0,0
"178","exhaustive_caret_5k","AGB","clusterMedium",78,27.198504393706,NA,0,0
"179","exhaustive_caret_5k","AGB","clusterMedium",79,26.502420350901,NA,0,0
"180","exhaustive_caret_5k","AGB","clusterMedium",80,27.3933656548953,NA,0,0
"181","exhaustive_caret_5k","AGB","clusterMedium",81,27.2572540266464,NA,0,0
"182","exhaustive_caret_5k","AGB","clusterMedium",82,27.1475155915072,NA,0,0
"183","exhaustive_caret_5k","AGB","clusterMedium",83,26.5676460466158,NA,0,0
"184","exhaustive_caret_5k","AGB","clusterMedium",84,26.8283209099951,NA,0,0
"185","exhaustive_caret_5k","AGB","clusterMedium",85,27.1415376738919,NA,0,0
"186","exhaustive_caret_5k","AGB","clusterMedium",86,27.1236051888997,NA,0,0
"187","exhaustive_caret_5k","AGB","clusterMedium",87,26.9937519441644,NA,0,0
"188","exhaustive_caret_5k","AGB","clusterMedium",88,26.8042120242363,NA,0,0
"189","exhaustive_caret_5k","AGB","clusterMedium",89,26.4858261228088,NA,0,0
"190","exhaustive_caret_5k","AGB","clusterMedium",90,27.3464460057466,NA,0,0
