dsample,RMSE_rand,MAE_rand,R2_rand,RMSE_surf,MAE_surf,R2_surf,RMSE_spatial,MAE_spatial,R2_spatial,RMSE_kndm,MAE_kndm,R2_kndm,RMSE_nndm,MAE_nndm,R2_nndm
sclust,0.06830552341230167,0.048648154795511316,0.9058293148087275,0.12505010944843067,0.09559543987281824,0.8044737389710634,0.12467213571519666,0.0927243103401239,0.6585233996064307,0.11786394479377724,0.08663331065348662,0.669833022308587,0.10732929229497794,0.08077657226661841,0.7305982875745815
sregular,0.09616542516751671,0.07189224626335006,0.8378543871162234,0.09971228607888954,0.07055343980587751,0.8212810335737148,0.12722523040488845,0.09452183934240913,0.7043968838659384,0.10217383847331271,0.07596803611809387,0.8272944167568327,0.09666373507207537,0.07281124565650399,0.8358051925447912
wregular,0.09508439855131726,0.06884629829120115,0.839292939045986,0.10139213453915381,0.07730429422720904,0.8606783133758321,0.11899741031562494,0.08972998815668955,0.7455329787270656,0.09484396127930064,0.07027527904322543,0.8380446891264114,0.09726258753141681,0.0693107995808466,0.8275277390084631
random,0.09077449681458602,0.06952064248648938,0.8832225274652661,0.08070519965404549,0.061665235426424186,0.8977820836561595,0.15472463914656703,0.1171411329737616,0.6062764937121725,0.09215899222249477,0.07072281131715823,0.8772634000137817,0.09125028738956835,0.06847515901659769,0.8848610202893901
wclust,0.07095950699619609,0.05350054292411853,0.9151480414133345,0.11878444621708538,0.08235369111774662,0.7408030223952026,0.13998244752124311,0.11182003970455374,0.6533744319271795,0.09645315131810722,0.07543659717750426,0.8449150518825157,0.09278271210938198,0.06986969445991639,0.8647209395161048
sclust,0.08370509414483394,0.05073396220826233,0.8662016510079159,0.1888390058732828,0.13015025231853114,0.5068065089824516,0.17517782486693947,0.12076895981718477,0.3493211230316554,0.17154723377837405,0.10874159476326778,0.3734816870710638,0.15345213156746004,0.08933921300104508,0.49137203275332225
sregular,0.10084425983486622,0.07660535011622979,0.7932746265743041,0.08972822936001305,0.0679412159227666,0.895506946329476,0.12284884784037765,0.10036366990888428,0.7342265069328892,0.10103837066890307,0.07613102266144288,0.7957752390335401,0.09787245946484056,0.07416632836455872,0.8017472375038893
wregular,0.08390442424386793,0.06553670163584177,0.8678283552546525,0.10610155178625445,0.07796903174941064,0.8232195320154481,0.12850438072315515,0.09866031385702465,0.6804329209410699,0.08701178621559826,0.06687755753454007,0.8578304557596156,0.085952094764889,0.06653626849874855,0.8588881934774422
random,0.0886721630720222,0.06413868684777368,0.8591368938790049,0.09943482084476589,0.07788682934521729,0.8832384075277544,0.12649086147760985,0.09260764692934853,0.685331003337254,0.08939580794603665,0.0637331141697243,0.8352653284596769,0.09777583189972844,0.06789956790121893,0.8015561481687585
wclust,0.09217269220403243,0.06955096885943378,0.871571940586094,0.10573620356580779,0.0802168678744975,0.8264921965957182,0.1465607944139757,0.11890858489983344,0.6385327584836549,0.10363786734145407,0.0807836284347998,0.8509295796649677,0.1016149597551216,0.07950085862908475,0.8611548369622639
