dsample,k,RMSE_surf,MAE_surf,R2_surf,RMSE_knndm,MAE_knndm,R2_knndm,W_knndmCV
wregular,12,0.10726276418740985,0.0774831040886186,0.8030543386945153,0.09620615485440927,0.07283917343508294,0.8109746333567264,5131.06171973972
wregular,14,0.09929084440424601,0.0762546649199952,0.8444573641974998,0.096598846683073,0.07157746812195298,0.8153114983681663,5196.026225953364
wregular,16,0.10322761204697188,0.07550835913096829,0.8287103562362325,0.09410749513801164,0.07260143464250743,0.8221706132755277,5284.816671311666
wregular,18,0.10280205379551512,0.07520278983804939,0.8295709255230747,0.09317949643728766,0.06960957642743155,0.8268236497403583,5771.432586105591
wregular,20,0.10260495310646352,0.07572988895219586,0.8289743768549037,0.09065180709471186,0.07014920941150744,0.8384604211761184,4903.183893247019
random,2,0.09017478324017657,0.0695930537231027,0.8945076372614634,0.11968471976979357,0.08957343798878291,0.7145197299093219,30442.765256646646
random,4,0.09441341242527437,0.07257856394075489,0.8841537031190864,0.11296401430823645,0.08185895015655084,0.7396008221355959,18108.205207775227
random,6,0.08943357809653038,0.06908772690549066,0.8980091399532462,0.10965430004240048,0.08153212144580359,0.7613449961720331,18845.092054325967
random,8,0.08958508107203592,0.06937582706035207,0.8940648189982291,0.10970845958508212,0.08134350819918637,0.7699966660101016,20212.54125374587
random,10,0.09451274198000545,0.07229666029846113,0.8878430101502317,0.10451716194515374,0.07937966667757679,0.7910926605236871,18677.58711052849
random,12,0.08943105757926278,0.06927714957180585,0.8944534514892872,0.10362778842094146,0.07782961393711468,0.7974725149680509,15842.332522476609
random,14,0.09078393147713068,0.07035693520934541,0.8930711082396408,0.10336453613215911,0.07823204246656348,0.7996682603006752,15071.57141685975
random,16,0.09094794431145169,0.07075490046044124,0.8918474886117623,0.1021112529799392,0.07633599210408827,0.7995222760103036,16276.186623002111
random,18,0.09034879025703843,0.06983196166985454,0.895585327693704,0.10941806298123916,0.08055032912500203,0.7627966480059639,15029.454996516146
random,20,0.09164145012644412,0.07083393743717649,0.889315314136719,0.10128228522124885,0.07567442603131135,0.8017690721330506,16582.748481695144
random,2,0.10487000320864051,0.07732201606000713,0.8189362209045165,0.10774673854531604,0.08290443168303287,0.7701738700098945,20028.613088514718
