k,dsample,RMSE_surf,MAE_surf,R2_surf,RMSE_knndm,MAE_knndm,R2_knndm,W_knndmCV
4,sregular,0.0946829324166807,0.0708637937101595,0.8637187302385636,0.1049221589170444,0.08167023694244925,0.8042769999339582,20251.756928955125
4,wregular,0.10354290720998323,0.0762189466215238,0.8675442814524037,0.10181296262650616,0.07895141307654309,0.7991468589866936,11991.874574619109
4,random,0.09267346598423874,0.06876389445013406,0.8705122972601744,0.1041657068792933,0.07651175227605893,0.7898427978467633,4808.3718429886585
4,wclust,0.11079823647908889,0.0809980475692458,0.7757542888385228,0.10656738467421929,0.07449226830915781,0.7972022269299978,12056.504893642477
4,sclust,0.11454142695219367,0.0852555893382633,0.7844540929968077,0.12737843180702496,0.10284390240040918,0.7563408738748093,15532.27939372383
6,sregular,0.0875374428864265,0.06807394059303938,0.8966311479161886,0.10984941525607413,0.08352183584256785,0.7893446560329387,20625.754264164145
6,wregular,0.08966913100833912,0.06893246833454793,0.8899301245309804,0.1003127218965783,0.0750246581580452,0.8547102887438944,6643.701727521353
6,random,0.08897815245718271,0.07011495681853529,0.8725865167202761,0.10370999717681842,0.079509910484273,0.835557847706924,10180.414645937386
6,wclust,0.0970533024282011,0.0750942306065703,0.8890517572479337,0.1163105192959963,0.08622829299387832,0.7786654219772385,17642.876336491918
6,sclust,0.18575921306015122,0.13522617454287086,0.5243846077133187,0.1276966311545112,0.09146643475602072,0.41310865650183987,10217.248970502285
8,sregular,0.08941532864519243,0.0686308162805136,0.8931343830861161,0.0993261790582099,0.07532987664989435,0.8425124999913263,19152.492242360073
8,wregular,0.0792761508487237,0.06342530192168344,0.910752293882367,0.11558414819802111,0.0898760627898587,0.8091533660265264,6722.512952651384
8,random,0.08790581523480008,0.06873003880985615,0.8931426137866677,0.1027149564703618,0.07821071555779316,0.8446403049091286,3061.6869894552237
8,wclust,0.11780084731306102,0.08340717862449233,0.7921425948319466,0.10551433203024022,0.08347571298743288,0.7566947625136551,11259.705892923805
8,sclust,0.1319509985474294,0.09541066310129587,0.6929269681352462,0.1730072008442068,0.1309290619280921,0.39334356887624766,33163.14137576337
10,sregular,0.0873108055286459,0.06568123640126948,0.8888698277252784,0.10498097123751186,0.08046797732613671,0.8307559776725042,14173.445939962501
10,wregular,0.1029014121915865,0.07662596707320272,0.8295512646201756,0.10085467181443579,0.07457317350727355,0.7951160635578601,6686.309324666446
10,random,0.09131366756563745,0.07063405870499852,0.856984436181262,0.10476615609383641,0.07906844922117423,0.8304430197505489,5829.2692566166525
10,wclust,0.11280629764977819,0.08387817350832562,0.784958640775861,0.11076632531079803,0.08089382260555404,0.7427494904926998,12609.448671428103
10,sclust,0.13385213965839954,0.10237674473202998,0.687581994262945,0.10800582614492035,0.08439168290961535,0.7933444292905694,13691.86048963511
12,sregular,0.08622524858170379,0.06471380070046627,0.8948733164612253,0.09071713524845201,0.06815308592050995,0.8644639576167433,14825.232982859852
12,wregular,0.09834257183476451,0.07332276978531675,0.8770434875130949,0.09621629504772693,0.06983868371123944,0.824782062322934,5716.773100640116
12,random,0.08927391664179654,0.06875346994279331,0.8773582021930757,0.10014969886578738,0.07451844277524235,0.8423605522119848,3305.70107912367
12,wclust,0.10527980037320281,0.07974229005340631,0.8210599808843614,0.12891678490639819,0.08833894655266465,0.6698525616855954,13929.87006887184
12,sclust,0.13252670717298914,0.09303443404458403,0.7000978373724513,0.10528661931724531,0.08272987246397105,0.84745927325653,21872.825590030272
14,sregular,0.09653447623649318,0.07372570555939821,0.8594724018859052,0.09403226235120664,0.07057854670312566,0.8409669963163702,15641.169188046795
14,wregular,0.09304345681243908,0.07185739050324642,0.894891499631002,0.09661768583524305,0.07216350022317082,0.8193456912886794,5640.571491406391
